claimId,page,section,exactClaim,classification,sourceId,sourceUrl,sourceType,authorityScore,passageQuote,locator,retrievedAt,temporalValidity,jurisdiction,reviewStatus
,ai-agents-for-startups,,"Source for Cursor Pro / Business pricing.",removed,,,,,"Source for Cursor Pro / Business pricing.",,,,,
,ai-agents-for-startups,,"Source for Claude Team / Enterprise pricing.",removed,,,,,"Source for Claude Team / Enterprise pricing.",,,,,
,ai-agents-for-startups,,"- GitHub Copilot plans page (primary, retrieved 2026-08-22).",removed,,,,,"- GitHub Copilot plans page (primary, retrieved 2026-08-22).",,,,,
,ai-agents-for-startups,,"Source for Copilot Individual / Business / Enterprise pricing.",removed,,,,,"Source for Copilot Individual / Business / Enterprise pricing.",,,,,
,ai-agents-for-startups,,"- GST Council Rate Schedule (primary, retrieved 2026-08-22).",unresolved,,,,,"- GST Council Rate Schedule (primary, retrieved 2026-08-22).",,,,,
,ai-agents-for-startups,,"Source for the 18% GST rate referenced in this page.",unresolved,,,,,"Source for the 18% GST rate referenced in this page.",,,,,
,ai-agents-vs-chatbots,,"books a meeting, processes a refund), yes — the disclosure is part of consent under DPDP.",unresolved,,,,,"books a meeting, processes a refund), yes — the disclosure is part of consent under DPDP.",,,,,
,human-in-the-loop-agents,,"## Related pages

- [AI agents pillar](/ai-agents)
- [Agentic workflows](/agentic-workflows)
- [Orchestration](/ai-agent-orchestration)
- [Autonomy levels](/ai-agent-autonomy-levels)
- [Privacy and DPDP editorial policy](/trust/privacy-dpdp-editorial-policy)
- [Rating methodology](/trust/rating-methodology)

## Frequently asked questions

### Is HITL the same as human-in-the-middle?",unresolved,,,,,"## Related pages

- [AI agents pillar](/ai-agents)
- [Agentic workflows](/agentic-workflows)
- [Orchestration](/ai-agent-orchestration)
- [Autonomy levels](/ai-agent-autonomy-levels)
- [Privacy and DPDP editorial policy](/trust/privacy-dpdp-editorial-policy)
- [Rating methodology](/trust/rating-methodology)

## Frequently asked questions

### Is HITL the same as human-in-the-middle?",,,,,
,human-in-the-loop-agents,,"Track reviewer agreement with the agent's recommendation; a 100% approval rate is a signal that the review is not informative.",removed,,,,,"Track reviewer agreement with the agent's recommendation; a 100% approval rate is a signal that the review is not informative.",,,,,
,human-in-the-loop-agents,,"refunds under $50 to verified customers) and route the rest to a human.",removed,,,,,"refunds under $50 to verified customers) and route the rest to a human.",,,,,
